Year of publication,Country,Area,Wallace bioregion,Number of species,Energy,How,Where,When,Why,Geographical scale,Ecological scale,Tracking method,Ecosystem,Spatial_scale
1997,australia,australia,afrotropical,1,eolic terrestrial,doubt,doubt,doubt,doubt,continental,communities,bioacustic,farmlands,large_scale
1998,belgium,east asia,australian,11,hydroelectric,na,no,na,no,global,individuals,biologgers,forests,medium_scale
2004,belgiun,europe,na,13,offshore eolic,no,yes,no,yes,local,populations,isotopes,freshwaters,multi_scale
2005,brazil,na,neartic,14,other,yes,NA,yes,NA,regional,species,marks,grasslands/shrublands/savannahs,short_scale
2006,canada,north africa,neotropical,15,solar and termosolar,NA,NA,NA,NA,NA,NA,no tracking,mountains,NA
2007,china,north america,oriental,191,tidal power,NA,NA,NA,NA,NA,NA,other,oceans/coasts,NA
2008,czech republic,oceanian,paleartic,2,NA,NA,NA,NA,NA,NA,NA,radar,other,NA
2009,denmark,south africa,sino-japanese,29,NA,NA,NA,NA,NA,NA,NA,NA,peatlands,NA
2010,england,south america,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,finland,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,florida,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,france,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,germany,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,great britain,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,ireland,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,italy,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,japan,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,lesotho,NA,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,mozambique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,new jersey y massachusetts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,new zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,north carolina and georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,north sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,norway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,scotland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,scotland/uk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,some,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,south africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,steuben maine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,sweeden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,the netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,uk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,united kindom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,united kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,united kingdon (scotland),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,united states,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,usa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,wyoming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
